tag,Actor_loss,Average100,Avg_Exercise_Count,Avg_Total_Exercised,Collection_Progress,Critic_loss,Episode_Return,PER/priority_entropy,PER/priority_max,PER/priority_mean,PER/priority_min,PER/priority_std,Path_Length,Paths_Per_Second,Policy/Action_variance_mean,Policy/Actions_at_lower_pct,Policy/Actions_at_upper_pct,Price_Std,Stability/Target_drift,Steps_Per_Second,Swing_Option_Price,TD_Error/p50,TD_Error/p90,TD_Error/p99,Total_Steps
Actor_loss,1.0,,,,,-0.4795,,-0.9653,-0.901,-0.7876,0.0833,-0.9337,,,-0.2851,,0.0079,,-0.7115,,,-0.4849,-0.6699,-0.7163,
Average100,,1.0,-0.3379,0.0606,0.2581,,0.1942,,,,,,0.0692,-0.7977,,,,-0.1672,,-0.7916,0.8827,,,,0.4131
Avg_Exercise_Count,,-0.3379,1.0,-0.6425,,,0.2057,,,,,,,0.0053,,,,-0.5597,,0.4043,-0.6856,,,,0.2624
Avg_Total_Exercised,,0.0606,-0.6425,1.0,,,0.2751,,,,,,,0.7046,,,,0.9296,,0.4815,0.9513,,,,-0.3506
Collection_Progress,,0.2581,,,1.0,,0.3115,,,,,,,-0.6732,,,,,,-0.5949,,,,,1.0
Critic_loss,-0.4795,,,,,1.0,,0.5066,0.4375,0.4937,-0.0612,0.5073,,,0.2373,,0.0626,,0.4058,,,0.5357,0.7088,0.699,
Episode_Return,,0.1942,0.2057,0.2751,0.3115,,1.0,,,,,,-0.3774,-0.1497,,,,-0.0965,,-0.1492,0.1952,,,,0.0718
PER/priority_entropy,-0.9653,,,,,0.5066,,1.0,0.8837,0.8877,-0.0975,0.9566,,,0.3356,,0.0048,,0.715,,,0.5346,0.6814,0.6932,
PER/priority_max,-0.901,,,,,0.4375,,0.8837,1.0,0.774,-0.1679,0.9539,,,0.3687,,0.0619,,0.6701,,,0.481,0.6178,0.7005,
PER/priority_mean,-0.7876,,,,,0.4937,,0.8877,0.774,1.0,-0.0279,0.9031,,,0.3949,,0.0837,,0.6233,,,0.6253,0.6254,0.5618,
PER/priority_min,0.0833,,,,,-0.0612,,-0.0975,-0.1679,-0.0279,1.0,-0.1569,,,-0.1976,,-0.0863,,-0.453,,,-0.5567,-0.4807,-0.3947,
PER/priority_std,-0.9337,,,,,0.5073,,0.9566,0.9539,0.9031,-0.1569,1.0,,,0.3961,,0.0638,,0.7213,,,0.5524,0.6823,0.7061,
Path_Length,,0.0692,,,,,-0.3774,,,,,,1.0,0.0553,,,,,,0.0744,,,,,0.2367
Paths_Per_Second,,-0.7977,0.0053,0.7046,-0.6732,,-0.1497,,,,,,0.0553,1.0,,,,-0.4651,,0.9994,0.1532,,,,-0.3943
Policy/Action_variance_mean,-0.2851,,,,,0.2373,,0.3356,0.3687,0.3949,-0.1976,0.3961,,,1.0,,0.7003,,0.2054,,,0.3615,0.2425,0.1789,
Policy/Actions_at_lower_pct,,,,,,,,,,,,,,,,,,,,,,,,,
Policy/Actions_at_upper_pct,0.0079,,,,,0.0626,,0.0048,0.0619,0.0837,-0.0863,0.0638,,,0.7003,,1.0,,-0.0106,,,0.1426,0.0447,-0.0029,
Price_Std,,-0.1672,-0.5597,0.9296,,,-0.0965,,,,,,,-0.4651,,,,1.0,,-0.0822,0.9645,,,,0.8302
Stability/Target_drift,-0.7115,,,,,0.4058,,0.715,0.6701,0.6233,-0.453,0.7213,,,0.2054,,-0.0106,,1.0,,,0.4139,0.615,0.4915,
Steps_Per_Second,,-0.7916,0.4043,0.4815,-0.5949,,-0.1492,,,,,,0.0744,0.9994,,,,-0.0822,,1.0,0.0294,,,,-0.3805
Swing_Option_Price,,0.8827,-0.6856,0.9513,,,0.1952,,,,,,,0.1532,,,,0.9645,,0.0294,1.0,,,,0.2151
TD_Error/p50,-0.4849,,,,,0.5357,,0.5346,0.481,0.6253,-0.5567,0.5524,,,0.3615,,0.1426,,0.4139,,,1.0,0.5931,0.4177,
TD_Error/p90,-0.6699,,,,,0.7088,,0.6814,0.6178,0.6254,-0.4807,0.6823,,,0.2425,,0.0447,,0.615,,,0.5931,1.0,0.7119,
TD_Error/p99,-0.7163,,,,,0.699,,0.6932,0.7005,0.5618,-0.3947,0.7061,,,0.1789,,-0.0029,,0.4915,,,0.4177,0.7119,1.0,
Total_Steps,,0.4131,0.2624,-0.3506,1.0,,0.0718,,,,,,0.2367,-0.3943,,,,0.8302,,-0.3805,0.2151,,,,1.0
