tag,Actor_loss,Average100,Avg_Exercise_Count,Avg_Total_Exercised,Collection_Progress,Critic_loss,Episode_Return,PER/priority_entropy,PER/priority_max,PER/priority_mean,PER/priority_min,PER/priority_std,Path_Length,Paths_Per_Second,Policy/Action_variance_mean,Policy/Actions_at_lower_pct,Policy/Actions_at_upper_pct,Price_Std,Stability/Target_drift,Steps_Per_Second,Swing_Option_Price,TD_Error/p50,TD_Error/p90,TD_Error/p99,Total_Steps
Actor_loss,1.0,,,,,-0.6011,,-0.28,-0.5513,-0.6637,0.1522,-0.7098,,,-0.5118,,-0.106,,-0.7881,,,-0.5695,-0.6077,-0.7174,
Average100,,1.0,-0.8149,-0.7186,0.6435,,0.1918,,,,,,0.0671,-0.6759,,,,-0.1975,,-0.67,0.7197,,,,0.7103
Avg_Exercise_Count,,-0.8149,1.0,-0.2554,,,0.378,,,,,,-0.2912,0.3878,,,,-0.509,,0.5872,-0.8503,,,,-0.3466
Avg_Total_Exercised,,-0.7186,-0.2554,1.0,,,0.5153,,,,,,-0.3482,0.6074,,,,0.9204,,0.6853,0.6564,,,,-0.7219
Collection_Progress,,0.6435,,,1.0,,0.1755,,,,,,0.0972,-0.7995,,,,,,-0.8234,,,,,0.9999
Critic_loss,-0.6011,,,,,1.0,,0.1667,0.3938,0.4812,-0.0893,0.5034,,,0.2773,,0.037,,0.5299,,,0.5678,0.5854,0.6473,
Episode_Return,,0.1918,0.378,0.5153,0.1755,,1.0,,,,,,-0.3954,-0.1236,,,,0.63,,-0.123,-0.5443,,,,0.1261
PER/priority_entropy,-0.28,,,,,0.1667,,1.0,0.9001,0.8071,-0.0986,0.7961,,,0.6686,,0.6236,,0.1419,,,0.6327,0.6703,0.3912,
PER/priority_max,-0.5513,,,,,0.3938,,0.9001,1.0,0.9408,-0.2178,0.9573,,,0.7211,,0.5284,,0.4128,,,0.7719,0.8156,0.6123,
PER/priority_mean,-0.6637,,,,,0.4812,,0.8071,0.9408,1.0,-0.1247,0.9816,,,0.7291,,0.4778,,0.5131,,,0.8198,0.8457,0.6765,
PER/priority_min,0.1522,,,,,-0.0893,,-0.0986,-0.2178,-0.1247,1.0,-0.1589,,,-0.3383,,-0.1483,,-0.1332,,,-0.2051,-0.1151,-0.1831,
PER/priority_std,-0.7098,,,,,0.5034,,0.7961,0.9573,0.9816,-0.1589,1.0,,,0.7043,,0.4503,,0.5702,,,0.8158,0.865,0.7109,
Path_Length,,0.0671,-0.2912,-0.3482,0.0972,,-0.3954,,,,,,1.0,0.1393,,,,-0.0576,,0.1517,0.2528,,,,0.0951
Paths_Per_Second,,-0.6759,0.3878,0.6074,-0.7995,,-0.1236,,,,,,0.1393,1.0,,,,-0.3282,,0.9996,-0.1057,,,,-0.3892
Policy/Action_variance_mean,-0.5118,,,,,0.2773,,0.6686,0.7211,0.7291,-0.3383,0.7043,,,1.0,,0.7059,,0.3767,,,0.5853,0.592,0.4869,
Policy/Actions_at_lower_pct,,,,,,,,,,,,,,,,,,,,,,,,,
Policy/Actions_at_upper_pct,-0.106,,,,,0.037,,0.6236,0.5284,0.4778,-0.1483,0.4503,,,0.7059,,1.0,,0.0207,,,0.3987,0.4102,0.2156,
Price_Std,,-0.1975,-0.509,0.9204,,,0.63,,,,,,-0.0576,-0.3282,,,,1.0,,0.1607,0.8102,,,,0.3322
Stability/Target_drift,-0.7881,,,,,0.5299,,0.1419,0.4128,0.5131,-0.1332,0.5702,,,0.3767,,0.0207,,1.0,,,0.5118,0.5525,0.626,
Steps_Per_Second,,-0.67,0.5872,0.6853,-0.8234,,-0.123,,,,,,0.1517,0.9996,,,,0.1607,,1.0,-0.4236,,,,-0.3823
Swing_Option_Price,,0.7197,-0.8503,0.6564,,,-0.5443,,,,,,0.2528,-0.1057,,,,0.8102,,-0.4236,1.0,,,,0.3307
TD_Error/p50,-0.5695,,,,,0.5678,,0.6327,0.7719,0.8198,-0.2051,0.8158,,,0.5853,,0.3987,,0.5118,,,1.0,0.7997,0.6154,
TD_Error/p90,-0.6077,,,,,0.5854,,0.6703,0.8156,0.8457,-0.1151,0.865,,,0.592,,0.4102,,0.5525,,,0.7997,1.0,0.7261,
TD_Error/p99,-0.7174,,,,,0.6473,,0.3912,0.6123,0.6765,-0.1831,0.7109,,,0.4869,,0.2156,,0.626,,,0.6154,0.7261,1.0,
Total_Steps,,0.7103,-0.3466,-0.7219,0.9999,,0.1261,,,,,,0.0951,-0.3892,,,,0.3322,,-0.3823,0.3307,,,,1.0
