c,gamma,ID,LSM,Best RL,PctDiff
0.01,1.0,11,2.5392496585845947,2.536151170730591,-0.10000000149011612
0.01,2.0,12,2.439077615737915,2.445720911026001,0.30000001192092896
0.01,3.0,12,2.230194330215454,2.3164148330688477,3.9000000953674316
0.02,1.0,12,2.439077615737915,2.431769371032715,-0.30000001192092896
0.02,1.5,12,2.3508994579315186,2.360811233520508,0.4000000059604645
0.02,2.0,11,2.2206175327301025,2.2644400596618652,2.0
0.02,3.0,12,1.8481931686401367,2.0880463123321533,13.0
0.04,1.0,11,2.2206175327301025,2.218972682952881,-0.10000000149011612
0.04,1.5,12,2.065925359725952,2.0941076278686523,1.399999976158142
0.05,1.0,12,2.129793882369995,2.1302359104156494,0.0
0.05,1.5,11,1.9253901243209839,1.9705673456192017,2.299999952316284
0.05,2.0,13,1.6794780492782593,1.847137689590454,10.0
0.05,3.0,12,0.9736285209655762,1.6931580305099487,73.9000015258789
0.08,1.0,11,1.8415179252624512,1.8443119525909424,0.20000000298023224
0.08,1.5,13,1.5722379684448242,1.6567862033843994,5.400000095367432
0.08,2.0,12,1.2241109609603882,1.5380412340164185,25.600000381469727
0.1,1.0,11,1.6695027351379395,1.682398796081543,0.800000011920929
0.1,1.5,13,1.3574542999267578,1.485467791557312,9.399999618530273
