Configuration,c,gamma,Best Seed,Best Episode,LSM Price,RL Price,PctDiff
SwingOption_20_c0.00_gamma1,0.0,1.0,11,23552,2.6611757278442383,2.658513069152832,-0.1000000014901161
SwingOption_20_c0.01_gamma1,0.01,1.0,12,29696,2.5478177070617676,2.5410969257354736,-0.3000000119209289
SwingOption_20_c0.01_gamma1.5,0.01,1.5,12,21504,2.5026118755340576,2.49924898147583,-0.1000000014901161
SwingOption_20_c0.01_gamma2,0.01,2.0,12,26624,2.439077615737915,2.447158098220825,0.3000000119209289
SwingOption_20_c0.01_gamma3,0.01,3.0,12,32768,2.230194330215454,2.3164148330688477,3.900000095367432
SwingOption_20_c0.02_gamma1,0.02,1.0,12,5120,2.439077615737915,2.431769371032715,-0.3000000119209289
SwingOption_20_c0.02_gamma1.5,0.02,1.5,12,23552,2.3508994579315186,2.360811233520508,0.4000000059604645
SwingOption_20_c0.02_gamma2,0.02,2.0,13,9216,2.2321317195892334,2.269219398498535,1.7000000476837158
SwingOption_20_c0.02_gamma3,0.02,3.0,12,24576,1.8481931686401367,2.0880463123321533,13.0
SwingOption_20_c0.04_gamma1,0.04,1.0,12,25600,2.230194330215454,2.224780797958374,-0.2000000029802322
SwingOption_20_c0.04_gamma1.5,0.04,1.5,13,14336,2.068650722503662,2.096348524093628,1.2999999523162842
SwingOption_20_c0.04_gamma2,0.04,2.0,13,29696,1.8513931035995483,1.9735312461853027,6.599999904632568
SwingOption_20_c0.04_gamma3,0.04,3.0,11,29696,1.2188701629638672,1.7956602573394775,47.29999923706055
SwingOption_20_c0.05_gamma1,0.05,1.0,12,15360,2.129793882369995,2.1302359104156494,0.0
SwingOption_20_c0.05_gamma1.5,0.05,1.5,12,22528,1.932669997215271,1.975697875022888,2.200000047683716
SwingOption_20_c0.05_gamma2,0.05,2.0,13,22528,1.6794780492782593,1.847137689590454,10.0
SwingOption_20_c0.05_gamma3,0.05,3.0,12,25600,0.9736285209655762,1.6931580305099487,73.9000015258789
SwingOption_20_c0.08_gamma1,0.08,1.0,13,11264,1.8513931035995483,1.8518552780151367,0.0
SwingOption_20_c0.08_gamma1.5,0.08,1.5,13,14336,1.5722379684448242,1.6567862033843994,5.400000095367432
SwingOption_20_c0.08_gamma2,0.08,2.0,13,32768,1.2277066707611084,1.539062738418579,25.399999618530273
SwingOption_20_c0.10_gamma1,0.1,1.0,13,32768,1.6794780492782593,1.693837285041809,0.8999999761581421
SwingOption_20_c0.10_gamma1.5,0.1,1.5,13,26624,1.3574542999267578,1.4857327938079834,9.399999618530272
SwingOption_20_c0.10_gamma2,0.1,2.0,13,31744,0.9770519733428956,1.377478837966919,41.0
SwingOption_20_c0.15_gamma1,0.15,1.0,13,16384,1.2957735061645508,1.3247138261795044,2.200000047683716
SwingOption_20_c0.15_gamma1.5,0.15,1.5,11,25600,0.9015859961509703,1.1008620262145996,22.100000381469727
