Configuration,c,gamma,Best Seed,Best Episode,LSM Price,RL Price,PctDiff,CI_95,MeanDiff,CI_Lower,CI_Upper,RL_95CI,LSM_95CI,PctDiff_95CI
SwingOption_20_c0.00_gamma1,0.0,1.0,11,23552,2.6612,2.6585,-0.1,,,,,0.019920363375226003,0.021322004366306768,0.10291613723856104
SwingOption_20_c0.01_gamma1,0.01,1.0,12,29696,2.5478,2.5411,-0.26,,,,,0.020356942795022728,0.020943411757492342,0.09442062525084366
SwingOption_20_c0.01_gamma1.5,0.01,1.5,12,21504,2.5026,2.4992,-0.14,,,,,0.02002446819346786,0.020816410438876356,0.08962479062409913
SwingOption_20_c0.01_gamma2,0.01,2.0,12,26624,2.4402,2.4472,0.29,0.0019,0.0067,0.0048,0.0086,0.02045008923023084,0.020638598245405815,0.07968912794670985
SwingOption_20_c0.01_gamma3,0.01,3.0,12,32768,2.233,2.3164,3.73,0.0025,0.0831,0.0806,0.0857,0.020459301523945424,0.02000335597681687,0.11362654535774312
SwingOption_20_c0.02_gamma1,0.02,1.0,12,5120,2.4402,2.4318,-0.34,0.002,-0.0087,-0.0107,-0.0066,0.020965344894229514,0.020638598245405815,0.0838229615826451
SwingOption_20_c0.02_gamma1.5,0.02,1.5,12,23552,2.3526,2.3608,0.35,0.0017,0.0079,0.0062,0.0096,0.02025038386240175,0.02037355219728893,0.07236900224628731
SwingOption_20_c0.02_gamma2,0.02,2.0,13,9216,2.235,2.2692,1.53,0.0022,0.034,0.0318,0.0362,0.020206789842929965,0.020063461084500637,0.09825135372493904
SwingOption_20_c0.02_gamma3,0.02,3.0,12,24576,1.8593,2.088,12.3,0.0027,0.2285,0.2258,0.2313,0.019101238918695623,0.018723032249627892,0.18378867661655024
SwingOption_20_c0.04_gamma1,0.04,1.0,12,25600,2.2302,2.2248,-0.24,,,,,0.01963947201569869,0.019907325074084818,0.12201638347226441
SwingOption_20_c0.04_gamma1.5,0.04,1.5,13,14336,2.0687,2.0963,1.33,,,,,0.019704294498794447,0.019487134772361418,0.111908591916469
SwingOption_20_c0.04_gamma2,0.04,2.0,13,29696,1.8622,1.9735,5.98,0.0024,0.1112,0.1087,0.1136,0.019119550193101364,0.018771606430812753,0.13848116250602172
SwingOption_20_c0.04_gamma3,0.04,3.0,11,29696,1.2595,1.7957,42.57,0.0041,0.536,0.5319,0.5401,0.017732279741845637,0.01602891223846281,0.5311884630419311
SwingOption_20_c0.05_gamma1,0.05,1.0,12,15360,2.1343,2.1302,-0.19,0.0018,-0.0043,-0.006,-0.0025,0.019707721328564645,0.01968847072371293,0.08252602089181209
SwingOption_20_c0.05_gamma1.5,0.05,1.5,12,22528,1.9327,1.9757,2.22,,,,,0.01913353124555094,0.01898762143511818,0.11733038512720992
SwingOption_20_c0.05_gamma2,0.05,2.0,13,22528,1.696,1.8471,8.91,0.0023,0.1509,0.1486,0.1532,0.018715128998711614,0.018101994531959705,0.1439805862255063
SwingOption_20_c0.05_gamma3,0.05,3.0,12,25600,1.0342,1.6932,63.72,0.0049,0.6589,0.654,0.6638,0.017146362410312886,0.01469526454755738,0.8403428074724011
SwingOption_20_c0.08_gamma1,0.08,1.0,13,11264,1.8622,1.8519,-0.55,0.0016,-0.0105,-0.0121,-0.0089,0.018821510768348763,0.018771606430812753,0.08404214312013703
SwingOption_20_c0.08_gamma1.5,0.08,1.5,13,14336,1.5928,1.6568,4.02,0.0019,0.0638,0.062,0.0657,0.01755426453016359,0.017658061926932256,0.12772403472685617
SwingOption_20_c0.08_gamma2,0.08,2.0,13,32768,1.2277,1.5391,25.36,,,,,0.01679519272263783,0.016059884380852277,0.30153188757480437
SwingOption_20_c0.10_gamma1,0.1,1.0,13,32768,1.696,1.6938,-0.13,0.0013,-0.0024,-0.0037,-0.0011,0.018036710999414018,0.018101994531959705,0.07761422025016967
SwingOption_20_c0.10_gamma1.5,0.1,1.5,13,26624,1.3892,1.4857,6.95,0.0016,0.0964,0.0948,0.098,0.016935969797799707,0.016693882621563412,0.13167945711323284
SwingOption_20_c0.10_gamma2,0.1,2.0,13,31744,1.038,1.3775,32.71,0.0029,0.3393,0.3364,0.3423,0.01596809845510218,0.014755514853167328,0.45234992002509067
SwingOption_20_c0.15_gamma1,0.15,1.0,13,16384,1.2958,1.3247,2.23,,,,,0.01626720682594606,0.016405692326679242,0.10420195421751817
SwingOption_20_c0.15_gamma1.5,0.15,1.5,11,25600,0.9696,1.1009,13.54,0.0023,0.1312,0.1289,0.1334,0.014937438781672994,0.014322431946962472,0.2712319054699698
