Configuration,c,gamma,Best Seed,Best Episode,LSM_minimal,LSM_full,RL Price,PctDiff_minimal,MeanDiff_minimal,PctDiff_full,CI_95_full,MeanDiff_full,CI_Lower_full,CI_Upper_full,RL_95CI_full,LSM_full_95CI,PctDiff_95CI_full,RL_BangBangness,LSM_BangBangness,LSM_full_minus_minimal_csv,LSM_full_pct_change_vs_minimal_csv,Basis,Legacy Degree,Tuned Degree,Reg
SwingOption_20_c0.00_gamma1,0.0,1.0,13,27648,2.6612,2.6686,2.6585,-0.1,-0.0027,-0.38,0.0016,-0.0132,-0.0147,-0.0114,0.0214,0.0207,0.06,0.7922670393394696,1.0,0.0073775342812707,0.2772258485371542,chebyshev,7,2,none
SwingOption_20_c0.01_gamma1,0.01,1.0,11,24576,2.5478,2.5464,2.5411,-0.26,-0.0067,-0.21,0.0024,-0.0103,-0.0125,-0.0077,0.0203,0.0218,0.09,0.7278695844325073,1.0,-0.0013907408375786,-0.0545859501365342,chebyshev,7,2,none
SwingOption_20_c0.01_gamma1.5,0.01,1.5,11,29696,2.5026,2.5013,2.4992,-0.14,-0.0034,-0.08,0.0024,-0.009,-0.0114,-0.0067,0.02,0.0214,0.1,0.6210621137530115,1.0,-0.0012952791165226,-0.0517573370303926,chebyshev,7,2,none
SwingOption_20_c0.01_gamma2,0.01,2.0,12,26624,2.4402,2.4487,2.4472,0.29,0.007,-0.06,0.0019,-0.0015,-0.0035,0.0002,0.021,0.021,0.08,0.36841772871379674,1.0,0.0084897590055015,0.3479124254365023,chebyshev,7,2,none
SwingOption_20_c0.01_gamma3,0.01,3.0,12,32768,2.233,2.2405,2.3164,3.73,0.0834,3.39,0.0022,0.0759,0.0734,0.0779,0.0209,0.0204,0.1,0.23505834237106532,1.0,0.007508764404442,0.3362635201272743,chebyshev,7,2,none
SwingOption_20_c0.02_gamma1,0.02,1.0,11,32768,2.4402,2.4385,2.4318,-0.34,-0.0084,-0.27,0.0033,-0.0341,-0.0373,-0.0306,0.0185,0.0214,0.14,0.6384034939877573,1.0,-0.0017358704662342,-0.0711364013701436,chebyshev,7,2,none
SwingOption_20_c0.02_gamma1.5,0.02,1.5,12,23552,2.3526,2.361,2.3608,0.35,0.0082,-0.01,0.0015,-0.0002,-0.0018,0.0012,0.0208,0.0207,0.06,0.4759970443690998,1.0,0.0083838983156612,0.3563673516815957,chebyshev,7,2,none
SwingOption_20_c0.02_gamma2,0.02,2.0,13,32768,2.235,2.2413,2.2692,1.53,0.0342,1.25,0.0021,0.0138,0.0114,0.0156,0.0197,0.0202,0.09,0.37194573696792027,1.0,0.0062834274269998,0.281137692483214,chebyshev,7,2,none
SwingOption_20_c0.02_gamma3,0.02,3.0,12,24576,1.8593,1.8652,2.088,12.3,0.2287,11.94,0.0024,0.2228,0.2202,0.2251,0.0191,0.0189,0.13,0.10641699563992146,1.0,0.0059435242654186,0.3196646192340485,chebyshev,7,2,none
SwingOption_20_c0.04_gamma1,0.04,1.0,11,31744,2.2302,2.2314,2.2248,-0.24,-0.0054,-0.3,0.0021,-0.0124,-0.0143,-0.01,0.0197,0.0206,0.09,0.6127990916897793,1.0,0.0011845507021068,0.0531141019687417,chebyshev,7,2,none
SwingOption_20_c0.04_gamma1.5,0.04,1.5,12,10240,2.0687,2.0785,2.0963,1.33,0.0276,0.86,0.0014,0.0172,0.0156,0.0184,0.0199,0.0197,0.07,0.3977765027887772,1.0,0.0098086485729322,0.4741455297013722,chebyshev,7,2,none
