Configuration,c,gamma,LSM_full,LSM_full_CI95,RL_seed11,RL_seed12,RL_seed13,RL_seed14,RL_seed15,RL_seed16,RL_seed17,RL_seed18,RL_seed19,RL_seed20,RL_seed21,RL_seed22,RL_seed23,RL_seed24,RL_seed25,RL_mean,RL_std,RL_best,RL_best_seed,PctDiff_mean,PctDiff_best,PctDiff_CI95,RL_BangBangness_mean,LSM_BangBangness
SwingOption_20_c0.00_gamma1,0.0,1.0,2.66758052178513,0.021879767068508027,2.661177,2.649274,2.663312,,,,,,,,,,,,,2.657921,0.0075642258691817265,2.663312,13,-0.362107974107779,-0.16001473058715618,0.320879812249002,0.6842069999999999,0.9996740486629316
SwingOption_20_c0.01_gamma1,0.01,1.0,2.554873220290165,0.021688769596130753,2.54929,2.535223,2.549687,,,,,,,,,,,,,2.5447333333333333,0.008238581937040855,2.549687,13,-0.3968841536363999,-0.20299325418487482,0.3649039421674386,0.6032643333333333,0.9996419955717606
SwingOption_20_c0.01_gamma1.5,0.01,1.5,2.513135013168324,0.021364750520918463,2.509045,2.494996,2.50848,,,,,,,,,,,,,2.5041736666666665,0.007953111361808877,2.509045,11,-0.3565803848460868,-0.16274546122245978,0.35811019641556563,0.570376,0.7383440986494422
SwingOption_20_c0.01_gamma2,0.01,2.0,2.4609071077534552,0.021121642559958076,2.456204,2.443685,2.454214,,,,,,,,,,,,,2.4513676666666666,0.00672737321198506,2.456204,11,-0.3876392187552785,-0.19111277051609663,0.30934688336577537,0.4511260000000001,0.5682292366635896
SwingOption_20_c0.01_gamma3,0.01,3.0,2.328915530484535,0.020410866734056565,2.330735,2.314653,2.327527,,,,,,,,,,,,,2.324305,0.008511383201336884,2.330735,11,-0.19796898703216345,0.07812518280070135,0.41356316549760147,0.18222033333333332,0.256161197273082
SwingOption_20_c0.02_gamma1,0.02,1.0,2.4452390516905838,0.021258371625777706,2.44138,2.426785,2.44029,,,,,,,,,,,,,2.436151666666667,0.00813005893787569,2.44138,11,-0.3716358536656774,-0.15781899474881958,0.37624246830210767,0.6075106666666666,0.9999232679879729
SwingOption_20_c0.02_gamma1.5,0.02,1.5,2.368995078224865,0.02075800990146659,2.36455,2.3516,2.364868,,,,,,,,,,,,,2.3603393333333336,0.00757015464395105,2.364868,13,-0.36537622940177517,-0.1742121907639312,0.3616063405477305,0.48511499999999996,0.6168448233480591
SwingOption_20_c0.02_gamma2,0.02,2.0,2.2821689872462416,0.02052356258287724,2.281286,2.267191,2.280895,,,,,,,,,,,,,2.2764573333333336,0.008027261072952279,2.281286,11,-0.25027304922761134,-0.038690703938927935,0.3980292905459466,0.2995253333333333,0.39323886886948023
SwingOption_20_c0.02_gamma3,0.02,3.0,2.1030311293898976,0.01937688368130175,2.112341,2.098711,2.112619,,,,,,,,,,,,,2.1078903333333336,0.007950750991782512,2.112619,13,0.23105715723978706,0.4559072129799604,0.4278168590079854,0.06929033333333333,0.10598053714179344
SwingOption_20_c0.04_gamma1,0.04,1.0,2.237811826919207,0.020342508106154567,2.233997,2.220229,2.233769,,,,,,,,,,,,,2.229331666666667,0.007883964823192443,2.233997,11,-0.37894876372222935,-0.17047130028171137,0.3986727547895575,0.6395773333333333,0.9997389564937608
SwingOption_20_c0.04_gamma1.5,0.04,1.5,2.106734893134199,0.019811330931854165,2.104887,2.092557,2.103787,,,,,,,,,,,,,2.100410333333333,0.006823388698684555,2.104887,11,-0.3002067237542549,-0.08771360555241166,0.3665098640093234,0.3634523333333333,0.46314002916490565
SwingOption_20_c0.04_gamma2,0.04,2.0,1.9821827523762008,0.0192666010924053,1.983094,1.971142,1.981117,1.974036,1.975287,1.982772,1.984668,1.980172,1.994653,1.975336,1.982691,1.979965,1.984406,1.981707,1.988796,1.9813228,0.0059385271165741,1.994653,19,-0.043384111539152524,0.6291169474081107,0.1516161599395246,0.15294959999999996,0.21607354763975542
SwingOption_20_c0.04_gamma3,0.04,3.0,1.791712076562641,0.01824478360347548,1.813611,1.79911,1.813315,,,,,,,,,,,,,1.8086786666666665,0.008288029942835265,1.813611,11,0.9469484704582377,1.2222345165731976,0.523454014014703,0.017589666666666667,0.03283467244349157
SwingOption_20_c0.05_gamma1,0.05,1.0,2.1391889196319616,0.019897471466307826,2.135962,2.121446,2.135271,,,,,,,,,,,,,2.130893,0.008188634013069506,2.135962,11,-0.3878067783461085,-0.15084780976317885,0.4331693950156866,0.659018,0.9999560213108163
SwingOption_20_c0.05_gamma1.5,0.05,1.5,1.9868887732159424,0.019327307570995877,1.987141,1.973296,1.985073,,,,,,,,,,,,,1.9818366666666665,0.007468359681572279,1.987141,11,-0.2542722379521353,0.012694559829306623,0.42535066281239015,0.304814,0.4094793222070995
SwingOption_20_c0.05_gamma2,0.05,2.0,1.8540567457084656,0.01873313405849808,1.858471,1.845668,1.858932,,,,,,,,,,,,,1.854357,0.007528424204307254,1.858932,13,0.016194449939542218,0.2629506514738061,0.4594904655395768,0.11896899999999999,0.1676023541786299
SwingOption_20_c0.05_gamma3,0.05,3.0,1.6748848388857966,0.017676571585487744,1.701482,1.687354,1.701086,,,,,,,,,,,,,1.6966406666666665,0.008044926185698244,1.701482,11,1.2989446961226723,1.5879993953433142,0.543541309499602,0.011099333333333334,0.020815947346045444
SwingOption_20_c0.08_gamma1,0.08,1.0,1.8631736681043618,0.01883349884690333,1.860114,1.845967,1.858359,,,,,,,,,,,,,1.8548133333333334,0.007711239610680936,1.860114,11,-0.44871473412000207,-0.16421808426880236,0.4683454488868088,0.6759126666666666,0.999937041804242
SwingOption_20_c0.08_gamma1.5,0.08,1.5,1.6665771055158487,0.018100894972626236,1.67149,1.657089,1.669586,,,,,,,,,,,,,1.666055,0.007822925987122677,1.67149,11,-0.031328014414732486,0.2947895100617353,0.5311769904165875,0.209863,0.2976463821775683
