Configuration,c,gamma,LSM_fit_paths,ACsample_ep,ACkernel_ep,n_oos,n_seeds,LSM_mean,LSM_lo,LSM_hi,LSM_sd,ACsample_mean,ACsample_lo,ACsample_hi,ACsample_sd,ACkernel_mean,ACkernel_lo,ACkernel_hi,ACkernel_sd,ACsample_delta_pct,ACsample_delta_lo,ACsample_delta_hi,ACkernel_delta_pct,ACkernel_delta_lo,ACkernel_delta_hi
SwingOption_20_c0.00_gamma1,0.0,1.0,32768,32768,4096,65536,8,2.664871499931225,2.6587977689101714,2.670717027225081,0.009333222355057938,2.6293189999999997,2.617911508102037,2.6404855965997016,0.017329065987525125,2.66081725,2.654888377819761,2.666809247880579,0.009496335484957114,-1.3340692623041606,-1.7291338599242032,-0.9953869304985624,-0.1521507664602767,-0.17479323258467183,-0.12534168158150316
SwingOption_20_c0.01_gamma1,0.01,1.0,32768,32768,4096,65536,8,2.552498983007928,2.5460810962187734,2.5585625081148495,0.009760970479739506,2.5285196250000004,2.516332958381223,2.5378298174292477,0.016749082507387773,2.548738,2.542846445074487,2.554796573803656,0.009276677884427648,-0.939892336158471,-1.2290083700022154,-0.6865071504254251,-0.14727852757862037,-0.17295421954535428,-0.12498144264258959
SwingOption_20_c0.01_gamma1.5,0.01,1.5,32768,32768,4096,65536,8,2.510812862088838,2.5044415440601173,2.5168714689581804,0.009621411368952977,2.4902906249999996,2.4787867298046127,2.498902375,0.015627959303189352,2.507453375,2.501222838585658,2.5132015,0.009335084435114424,-0.8178119864278993,-1.1881580119222435,-0.6541414817061872,-0.1337614476340926,-0.1494537581070913,-0.11371077671821013
SwingOption_20_c0.01_gamma2,0.01,2.0,32768,32768,4096,65536,8,2.4589617819056686,2.452490611717455,2.4649661826455835,0.00968542153882582,2.439702,2.432923625,2.4462689577259344,0.010378441969500312,2.455021,2.4486032499999997,2.4608520655597386,0.009510980976894885,-0.7833226992493127,-0.8386201962967637,-0.722598981901902,-0.1602309926937051,-0.19148888441075113,-0.13197030520153646
SwingOption_20_c0.01_gamma3,0.01,3.0,32768,32768,4096,65536,8,2.327890380174405,2.3212781476614937,2.3339377998572166,0.00989829534062333,2.298480875,2.287945375,2.30904748348585,0.016768240494096465,2.3287795,2.3225968750000003,2.3347530461183874,0.009426308336625902,-1.2642662259440747,-1.475131430069089,-1.015960366366208,0.03828172419801379,-0.004755184098253344,0.06665611075036317
SwingOption_20_c0.02_gamma1,0.02,1.0,32768,32768,4096,65536,8,2.4438120007845905,2.437347454751151,2.4500889122456364,0.009973624618089105,2.4196646250000002,2.4036931126913834,2.4323871209130057,0.02206135811087858,2.440482625,2.4349435710341445,2.44682659333604,0.009208552964306014,-0.9892964080037938,-1.4129971080817076,-0.639852645605165,-0.13611727779813676,-0.16812272992751745,-0.09830546586059344
SwingOption_20_c0.02_gamma1.5,0.02,1.5,32768,32768,4096,65536,8,2.367205943379332,2.3606983140596016,2.3732732268080845,0.009736603828102978,2.3486095000000002,2.342706826065241,2.356303829794249,0.01060469700516846,2.3639655,2.357825284506099,2.3701377223420494,0.009601946647871423,-0.7854920731172721,-0.9962028944449911,-0.6708648794454621,-0.13686641437909708,-0.15748941847260922,-0.11928623008018308
SwingOption_20_c0.02_gamma2,0.02,2.0,32768,32768,4096,65536,8,2.2812756211880107,2.2744732535288206,2.28743956639514,0.01017946005038912,2.256166125,2.25014425,2.264855047745169,0.011363842099741532,2.2792606249999996,2.2726916612312342,2.2849385423836934,0.009484867269761815,-1.0996776523152771,-1.5856046591593442,-0.8557419481244258,-0.08819980182201287,-0.13489918521886998,-0.0605990555470121
SwingOption_20_c0.02_gamma3,0.02,3.0,32768,32768,4096,65536,8,2.1033325995798053,2.0966510698973173,2.1095306918219694,0.010038430090684823,2.085462625,2.0729101822001943,2.09504756427403,0.01717301393746671,2.1118566249999997,2.10494864303624,2.117896033477212,0.010027808989255859,-0.8508122619097142,-1.18593856154646,-0.6426088499037386,0.4052792331585481,0.37398882503158776,0.4242690944457654
SwingOption_20_c0.04_gamma1,0.04,1.0,32768,32768,4096,65536,8,2.2366217522595355,2.2303358544492586,2.2427648462552816,0.009748047579650327,2.210855125,2.2057847082073065,2.2193125819669848,0.010237439376237762,2.232589125,2.226575,2.238946729024469,0.00964163008502338,-1.151460347721557,-1.4344905717413197,-0.924570165790789,-0.18027046260845198,-0.2170919256436199,-0.144895864943142
