Configuration,c,gamma,LSM_full,LSM_full_CI95,RL_seed11,RL_seed12,RL_seed13,RL_mean,RL_std,RL_best,RL_best_seed,PctDiff_mean,PctDiff_best,PctDiff_CI95,RL_BangBangness_mean,LSM_BangBangness
SwingOption_20_c0.01_gamma1_v64_4k,0.01,1.0,2.554873220290165,0.021688769596130753,2.5508911007430157,2.549353078311711,2.5507878933906634,2.550344024148463,0.0008597343647474215,2.5508911007430157,11,-0.17727674726604944,-0.15586368495799408,0.038079424506620274,0.6503526839494591,0.9996419955717606
SwingOption_20_c0.01_gamma1.5_v64_4k,0.01,1.5,2.513135013168324,0.021364750520918463,2.509022972970201,2.5085106898081166,2.508934880821929,2.508822847866749,0.0002739015276036813,2.509022972970201,11,-0.17158510302788596,-0.163621937403938,0.01233315181775207,0.5707574666298701,0.7383440986494422
SwingOption_20_c0.01_gamma2_v64_4k,0.01,2.0,2.4609071077534552,0.021121642559958076,2.4581481852676745,2.45671467196963,2.457639679300537,2.4575008455126137,0.0007267710846060497,2.4581481852676745,11,-0.13841490522375138,-0.11210998079075367,0.03341933959345573,0.447369341599658,0.5682292366635896
SwingOption_20_c0.01_gamma3_v64_4k,0.01,3.0,2.328915530484535,0.020410866734056565,2.3306251374966522,2.3287694708000553,2.3283022688215187,2.329232292372742,0.0012286507138269107,2.3306251374966522,11,0.013601261362256981,0.07340785828164981,0.059699424462681186,0.19689090173652457,0.256161197273082
SwingOption_20_c0.02_gamma1_v64_4k,0.02,1.0,2.4452390516905838,0.021258371625777706,2.442680275524662,2.442325824230997,2.4408709006776124,2.441959000144424,0.0009588426706982033,2.442680275524662,11,-0.13414032234975973,-0.10464319078139767,0.044373274030795606,0.6806942043502744,0.9999232679879729
SwingOption_20_c0.02_gamma1.5_v64_4k,0.02,1.5,2.368995078224865,0.02075800990146659,2.366776198879117,2.3660426070741387,2.3666225223924586,2.366480442781905,0.0003868839566125189,2.366776198879117,11,-0.10614776983177279,-0.09366331598337133,0.01848042719696183,0.4893257325970315,0.6168448233480591
SwingOption_20_c0.02_gamma2_v64_4k,0.02,2.0,2.2821689872462416,0.02052356258287724,2.2812871865378392,2.2800902478722134,2.280400615118458,2.2805926831761703,0.0006211546879904661,2.2812871865378392,11,-0.0690704360141796,-0.03863871226584308,0.030799765640262714,0.3009555005566235,0.39323886886948023
SwingOption_20_c0.02_gamma3_v64_4k,0.02,3.0,2.1030311293898976,0.01937688368130175,2.1117144537497214,2.11138200664443,2.112636033122995,2.111910831172382,0.0006496681239938661,2.112636033122995,13,0.42223349233353885,0.4567171450231495,0.03495757526451648,0.06494129098701883,0.10598053714179344
SwingOption_20_c0.04_gamma1_v64_4k,0.04,1.0,2.237811826919207,0.020342508106154567,2.2342564143786654,2.234037837027054,2.2329569751169505,2.23375040884089,0.0006957706665078514,2.2342564143786654,11,-0.18149059851508145,-0.1588789771227742,0.03518341526619478,0.6625989503637529,0.9997389564937608
SwingOption_20_c0.04_gamma1.5_v64_4k,0.04,1.5,2.106734893134199,0.019811330931854165,2.1059402254371995,2.105771383800157,2.105281044408086,2.1056642178818143,0.0003424081012863525,2.1059402254371995,11,-0.05082154645436808,-0.03772034628510845,0.018392026627816967,0.3504042519435881,0.46314002916490565
SwingOption_20_c0.04_gamma2_v64_4k,0.04,2.0,1.9821827523762008,0.0192666010924053,1.9849665627551647,1.9859320384294792,1.9819665438650564,1.9842883816832335,0.002067905694141044,1.9859320384294792,12,0.10622780893984393,0.1891493631847937,0.11805448206882682,0.14854442338041104,0.21607354763975542
