arm,sampler,replay,step_density,regime,c,gamma,N,seed,price,ci95,std,bangbang,cpu_train,t_total,wall_s
A0,mc,uniform,1.0,g1,0.04,1.0,1024,11,2.230602,0.019979,2.609469,0.603815,11.5881,13.4445,13.467526912689209
A0,mc,uniform,1.0,g1,0.04,1.0,1024,12,2.219685,0.019764,2.581485,0.581824,11.6437,13.5721,13.599122285842896
A0,mc,uniform,1.0,g1,0.04,1.0,1024,13,2.229892,0.019999,2.612071,0.527172,11.5707,13.4818,13.50181794166565
A0,mc,uniform,1.0,g1,0.04,1.0,1024,14,2.220423,0.019983,2.610082,0.595271,11.5674,13.3245,13.344846963882446
A0,mc,uniform,1.0,g1,0.04,1.0,1024,15,2.222687,0.02003,2.616123,0.557752,11.4412,13.5704,13.58601689338684
A0,mc,uniform,1.0,g1,0.04,1.0,1024,16,2.226583,0.020125,2.628603,0.710039,11.5621,13.7759,13.796921730041504
A0,mc,uniform,1.0,g1,0.04,1.0,1024,17,2.229896,0.019937,2.603979,0.674989,11.3856,13.3382,13.359281063079834
A0,mc,uniform,1.0,g1,0.04,1.0,1024,18,2.227468,0.020224,2.641447,0.643286,11.2116,13.1203,13.140567064285278
A0,mc,uniform,1.0,g1,0.04,1.0,1024,19,2.240819,0.020154,2.63241,0.675685,11.402,13.1001,13.122714757919312
A0,mc,uniform,1.0,g1,0.04,1.0,1024,20,2.220651,0.020078,2.622421,0.556418,11.7723,13.7123,13.734766006469727
A0,mc,uniform,1.0,g1,0.04,1.0,1024,21,2.228616,0.019931,2.603192,0.600789,11.6197,13.5351,13.554276704788208
A0,mc,uniform,1.0,g1,0.04,1.0,1024,22,2.226026,0.020008,2.613254,0.57213,11.6227,13.5041,13.522543907165527
A1,arqmc,uniform,1.0,g1,0.04,1.0,1024,11,2.210784,0.020192,2.637385,0.511561,10.5297,12.7394,12.758435010910034
A1,arqmc,uniform,1.0,g1,0.04,1.0,1024,12,2.193793,0.02006,2.620118,0.714519,10.5217,12.6137,12.635861158370972
A1,arqmc,uniform,1.0,g1,0.04,1.0,1024,13,2.187424,0.019255,2.514932,0.665091,10.3953,12.3231,12.344490766525269
A1,arqmc,uniform,1.0,g1,0.04,1.0,1024,14,2.181503,0.019862,2.594213,0.724735,10.5594,12.5627,12.583641052246094
A1,arqmc,uniform,1.0,g1,0.04,1.0,1024,15,2.199862,0.019714,2.574838,0.769036,10.7377,12.6589,12.679774045944214
A1,arqmc,uniform,1.0,g1,0.04,1.0,1024,16,2.183159,0.020302,2.651725,0.842949,10.6998,12.5791,12.598865032196045
A1,arqmc,uniform,1.0,g1,0.04,1.0,1024,17,2.184229,0.019204,2.508312,0.587052,10.6044,12.5979,12.619368076324463
A1,arqmc,uniform,1.0,g1,0.04,1.0,1024,18,2.169893,0.020666,2.699272,0.831945,10.6764,12.5508,12.571887016296387
A1,arqmc,uniform,1.0,g1,0.04,1.0,1024,19,2.174261,0.020977,2.739915,0.804793,10.7938,12.9268,12.946831941604614
A1,arqmc,uniform,1.0,g1,0.04,1.0,1024,20,2.162894,0.021004,2.743376,0.709354,10.7213,12.7662,12.787457942962646
A1,arqmc,uniform,1.0,g1,0.04,1.0,1024,21,2.167519,0.019109,2.49591,0.617737,10.7162,13.0742,13.093982934951782
A1,arqmc,uniform,1.0,g1,0.04,1.0,1024,22,2.213424,0.020034,2.616717,0.486273,10.6776,12.7708,12.805791139602661
A2,mc,time,2.0,g1,0.04,1.0,1024,11,2.227414,0.019831,2.590177,0.52273,12.6241,15.0244,15.044403076171875
A2,mc,time,2.0,g1,0.04,1.0,1024,12,2.218595,0.019731,2.577102,0.610042,12.5212,14.9001,14.930835962295532
A2,mc,time,2.0,g1,0.04,1.0,1024,13,2.225608,0.019926,2.602577,0.517699,12.5254,14.9511,14.975319147109985
A2,mc,time,2.0,g1,0.04,1.0,1024,14,2.218276,0.020014,2.614098,0.54367,12.465,14.6158,14.64667010307312
A2,mc,time,2.0,g1,0.04,1.0,1024,15,2.221475,0.01992,2.601814,0.556677,12.5483,14.8627,14.88852596282959
A2,mc,time,2.0,g1,0.04,1.0,1024,16,2.228113,0.020274,2.648013,0.70184,12.5789,14.7739,14.795476913452148
