arm,sampler,replay,step_density,regime,c,gamma,N,seed,price,ci95,std,bangbang,cpu_train,t_total,wall_s
A0,mc,uniform,1.0,g2,0.04,2.0,1024,11,1.966086,0.018674,2.439014,0.164042,9.9293,14.3752,14.390996932983398
A0,mc,uniform,1.0,g2,0.04,2.0,1024,12,1.957289,0.01862,2.432016,0.159439,9.9936,14.4284,14.441060066223145
A0,mc,uniform,1.0,g2,0.04,2.0,1024,13,1.969617,0.018807,2.456431,0.153475,9.8848,14.2164,14.241554975509644
A0,mc,uniform,1.0,g2,0.04,2.0,1024,14,1.969542,0.019,2.481591,0.129286,9.9703,14.5523,14.564130067825317
A0,mc,uniform,1.0,g2,0.04,2.0,1024,15,1.970257,0.018967,2.477269,0.155895,9.5513,13.576,13.589459896087646
A0,mc,uniform,1.0,g2,0.04,2.0,1024,16,1.963819,0.018793,2.454561,0.178996,9.7492,13.9398,13.970340013504028
A0,mc,uniform,1.0,g2,0.04,2.0,1024,17,1.967527,0.018774,2.452105,0.161879,9.7378,14.0237,14.072139024734497
A0,mc,uniform,1.0,g2,0.04,2.0,1024,18,1.969804,0.018911,2.469988,0.13776,9.7852,13.8946,13.911065101623535
A0,mc,uniform,1.0,g2,0.04,2.0,1024,19,1.985381,0.019111,2.496123,0.170391,10.0627,15.6473,15.67224669456482
A0,mc,uniform,1.0,g2,0.04,2.0,1024,20,1.963548,0.019092,2.493691,0.183363,9.9487,15.9255,15.941372156143188
A0,mc,uniform,1.0,g2,0.04,2.0,1024,21,1.967846,0.018852,2.462365,0.165213,9.8389,15.2176,15.240936994552612
A0,mc,uniform,1.0,g2,0.04,2.0,1024,22,1.96311,0.019044,2.48733,0.192173,10.0698,15.8067,15.837207794189453
A1,arqmc,uniform,1.0,g2,0.04,2.0,1024,11,1.884638,0.017935,2.342492,0.327138,10.1809,12.2832,12.307813882827759
A1,arqmc,uniform,1.0,g2,0.04,2.0,1024,12,1.927681,0.018982,2.479254,0.22706,10.2636,12.312,12.335290908813477
A1,arqmc,uniform,1.0,g2,0.04,2.0,1024,13,1.905809,0.018506,2.417062,0.279734,10.1643,12.0722,12.093629360198975
A1,arqmc,uniform,1.0,g2,0.04,2.0,1024,14,1.899891,0.018608,2.430391,0.32104,10.2468,12.2836,12.30531096458435
A1,arqmc,uniform,1.0,g2,0.04,2.0,1024,15,1.9189,0.01916,2.502515,0.3106,10.2138,12.0087,12.032132148742676
A1,arqmc,uniform,1.0,g2,0.04,2.0,1024,16,1.870279,0.018309,2.391367,0.378266,10.1191,11.8119,11.835188865661621
A1,arqmc,uniform,1.0,g2,0.04,2.0,1024,17,1.918239,0.018522,2.419139,0.257841,10.4022,12.3974,12.415772199630737
A1,arqmc,uniform,1.0,g2,0.04,2.0,1024,18,1.852152,0.017931,2.342033,0.417382,10.1624,11.9341,11.953328847885132
A1,arqmc,uniform,1.0,g2,0.04,2.0,1024,19,1.874888,0.018715,2.444372,0.442457,10.3978,12.3631,12.381487846374512
A1,arqmc,uniform,1.0,g2,0.04,2.0,1024,20,1.868478,0.01877,2.451627,0.40088,10.3402,12.1932,12.214807987213135
