c,gamma,mode,V_dp,U_num,V_ext,p_obs,fit_rms,ladder_V,nX,nY,nQ,Mx,Nmax,interp,fp64,X_lo,X_hi,Y_lo,Y_hi,threads,t_ladder_s,git
0.0,1.0,latticeQ,2.666248048,1.23e-04,,,,2.666062216;2.666141331;2.666149300;2.666180513;2.666204946;2.666248048,641,641,11,48,3,1,1,-1.6,1.6,0.0,4.0,8,5.8,04466f4
0.01,1.0,latticeQ,2.553982884,1.24e-04,,,,2.553914983;2.553806394;2.553975633;2.554035149;2.554074542;2.553982884,641,641,11,48,3,1,1,-1.6,1.6,0.0,4.0,8,5.9,04466f4
0.01,1.5,ladder,2.512894035,9.25e-05,2.512850000,1.34,,2.513132284;2.512961492;2.512894035,121,121,401,24,3,1,1,-1.6,1.6,0.0,4.0,8,51.2,04466f4
0.01,2.0,ladder,2.461284177,7.14e-05,2.461257070,1.53,,2.461481948;2.461335146;2.461284177,121,121,401,24,3,1,1,-1.6,1.6,0.0,4.0,8,25.7,04466f4
0.01,3.0,ladder,2.334238705,4.85e-05,2.334229891,1.81,,2.334338855;2.334260880;2.334238705,121,121,401,24,3,1,1,-1.6,1.6,0.0,4.0,8,26.8,04466f4
0.02,1.0,latticeQ,2.445089226,1.43e-04,,,,2.445166504;2.444933365;2.445107503;2.445167643;2.445053575;2.445089226,641,641,11,48,3,1,1,-1.6,1.6,0.0,4.0,8,6.7,04466f4
0.02,1.5,ladder,2.369545025,7.65e-05,2.369513817,1.40,,2.369731548;2.369596248;2.369545025,121,121,401,24,3,1,1,-1.6,1.6,0.0,4.0,8,55.2,04466f4
0.02,2.0,ladder,2.285079511,5.59e-05,2.285064788,1.70,,2.285219203;2.285112469;2.285079511,121,121,401,24,3,1,1,-1.6,1.6,0.0,4.0,8,25.7,04466f4
0.02,3.0,ladder,2.115780974,4.05e-05,2.115778574,1.95,,2.115814218;2.115787823;2.115780974,121,121,401,24,3,1,1,-1.6,1.6,0.0,4.0,8,26.6,04466f4
0.04,1.0,latticeQ,2.237648000,1.45e-04,,,,2.237753812;2.237493849;2.237694581;2.237578759;2.237599922;2.237648000,641,641,11,48,3,1,1,-1.6,1.6,0.0,4.0,8,6.7,04466f4
